time,open,high,low,close
1751346000,1.17862,1.17882,1.17829,1.17871
1751347800,1.17871,1.17895,1.17806,1.17863
1751349600,1.17863,1.17863,1.17764,1.17818
1751351400,1.17818,1.17867,1.17779,1.17796
1751353200,1.17796,1.17877,1.17676,1.17847
1751355000,1.17847,1.17865,1.17787,1.17859
1751356800,1.17859,1.17885,1.17749,1.17884
1751358600,1.17884,1.18173,1.17853,1.18049
1751360400,1.18049,1.18186,1.17972,1.18147
1751362200,1.18147,1.18298,1.18136,1.18138
1751364000,1.18138,1.18231,1.18112,1.18148
1751365800,1.18148,1.18191,1.1811,1.18118
1751367600,1.18118,1.18143,1.18061,1.18084
1751369400,1.18084,1.18193,1.18074,1.18141
1751371200,1.18141,1.18176,1.18067,1.18104
1751373000,1.18104,1.18115,1.18025,1.18039
1751374800,1.18039,1.1807,1.17954,1.17986
1751376600,1.17986,1.18119,1.17932,1.18016
1751378400,1.18016,1.18023,1.17836,1.1793
1751380200,1.1793,1.17959,1.17755,1.17799
1751382000,1.17799,1.17799,1.17695,1.17716
1751383800,1.17716,1.17794,1.17693,1.17759
1751385600,1.17759,1.1776,1.17619,1.17642
1751387400,1.17642,1.17679,1.17616,1.17657
1751389200,1.17657,1.17807,1.17653,1.17771
1751391000,1.17771,1.17835,1.1777,1.17827
1751392800,1.17827,1.17835,1.17754,1.17765
1751394600,1.17765,1.17808,1.17754,1.17808
1751396400,1.17808,1.1791,1.17793,1.17841
1751398200,1.17841,1.17914,1.17826,1.17911
1751400000,1.17909,1.18022,1.17908,1.18018
1751401800,1.18018,1.18068,1.17995,1.18054
1751403600,1.18026,1.18044,1.17984,1.17995
1751405400,1.17992,1.18042,1.17992,1.18037
1751407200,1.18037,1.18065,1.18021,1.18045
1751409000,1.18045,1.18063,1.18025,1.18026
1751410800,1.18026,1.18044,1.17992,1.18026
1751412600,1.18026,1.18068,1.18021,1.18051
1751414400,1.18051,1.18057,1.18003,1.18007
1751416200,1.18007,1.18082,1.17995,1.18075
1751418000,1.18075,1.18096,1.18036,1.18084
1751419800,1.18084,1.181,1.17924,1.17939
1751421600,1.17939,1.17981,1.17887,1.17979
1751423400,1.17979,1.18017,1.17969,1.18
1751425200,1.18,1.18028,1.17976,1.17987
1751427000,1.17987,1.18013,1.17963,1.18002
1751428800,1.18002,1.18012,1.17988,1.17993
1751430600,1.17993,1.18002,1.17959,1.17965
1751432400,1.17965,1.17981,1.17889,1.17925
1751434200,1.17925,1.17955,1.17849,1.17874
1751436000,1.17874,1.17934,1.1785,1.17864
1751437800,1.17864,1.17887,1.17736,1.17814
1751439600,1.17814,1.17834,1.17767,1.17779
1751441400,1.17779,1.17828,1.17716,1.17744
1751443200,1.17744,1.17788,1.17704,1.17776
1751445000,1.17776,1.17814,1.17732,1.17756
1751446800,1.17756,1.17776,1.17676,1.17693
1751448600,1.17693,1.17756,1.17676,1.17706
1751450400,1.17706,1.17809,1.17704,1.17732
1751452200,1.17732,1.17772,1.1765,1.17678
1751454000,1.17678,1.17713,1.17625,1.17632
1751455800,1.17632,1.17639,1.17471,1.17501
1751457600,1.17501,1.17883,1.17476,1.17781
1751459400,1.17781,1.17781,1.17546,1.17568
1751461200,1.17568,1.17774,1.17551,1.17655
1751463000,1.17655,1.17723,1.1756,1.176
1751464800,1.176,1.17707,1.17537,1.1763
1751466600,1.1763,1.17689,1.17511,1.17674
1751468400,1.17674,1.17833,1.17659,1.17796
1751470200,1.17796,1.17897,1.17796,1.17892
1751472000,1.17892,1.1794,1.17855,1.17885
1751473800,1.17885,1.17912,1.17857,1.17883
1751475600,1.17883,1.17999,1.17882,1.17934
1751477400,1.17934,1.17988,1.17932,1.17954
1751479200,1.17954,1.17982,1.17934,1.1798
1751481000,1.1798,1.18002,1.17959,1.17994
1751482800,1.17994,1.17999,1.17958,1.17973
1751484600,1.17973,1.18032,1.17964,1.18024
1751486400,1.18024,1.18025,1.17957,1.1797
1751488200,1.1797,1.17992,1.17957,1.17991
1751490000,1.17952,1.17981,1.17927,1.1796
1751491800,1.1796,1.17961,1.1787,1.17946
1751493600,1.17946,1.18003,1.17936,1.17996
1751495400,1.17996,1.18,1.17968,1.17984
1751497200,1.17984,1.18003,1.17971,1.17997
1751499000,1.17997,1.18022,1.17985,1.17989
1751500800,1.17989,1.18071,1.17981,1.18037
1751502600,1.18037,1.18086,1.1801,1.18068
1751504400,1.18068,1.181,1.18049,1.18094
1751506200,1.18094,1.18096,1.18042,1.18047
1751508000,1.18047,1.18051,1.17947,1.17954
1751509800,1.17954,1.18003,1.17949,1.17981
1751511600,1.17981,1.17995,1.17947,1.17951
1751513400,1.17951,1.17963,1.17895,1.17919
1751515200,1.17919,1.1793,1.17893,1.17901
1751517000,1.17901,1.17914,1.17878,1.17896
1751518800,1.17896,1.17914,1.17881,1.17887
1751520600,1.17887,1.17959,1.17871,1.17959
1751522400,1.17959,1.18019,1.1793,1.17967
1751524200,1.17967,1.18028,1.17919,1.18022
1751526000,1.18022,1.18075,1.17948,1.18072
1751527800,1.18072,1.18099,1.18012,1.18015
1751529600,1.18015,1.18083,1.17975,1.17996
1751531400,1.17996,1.18033,1.17958,1.17982
1751533200,1.17982,1.17984,1.17897,1.17904
1751535000,1.17904,1.17944,1.17888,1.17923
1751536800,1.17923,1.17984,1.17872,1.17968
1751538600,1.17968,1.18,1.17929,1.17934
1751540400,1.17934,1.17968,1.17918,1.1794
1751542200,1.1794,1.17959,1.17835,1.1785
1751544000,1.1785,1.17896,1.17816,1.17862
1751545800,1.17862,1.17865,1.17177,1.17381
